COUNTRY,CUISINES,RESTAURANT COUNTS
Ireland,Steak,3
Ireland,Burger,2
Ireland,Healthy Food,1
Ireland,Drinks Only,1
Ireland,Chinese,2
Ireland,Irish,4
Ireland,Pub Food,5
Ireland,Desserts,1
Ireland,Bakery,3
Ireland,Italian,1
Ireland,Tapas,2
Ireland,Crepes,1
Ireland,Seafood,2
Ireland,Cafe,12
Ireland,American,2
Ireland,Pizza,4
Ireland,Asian,3
Ireland,Sandwich,1
Ireland,Fast Food,1
Ireland,Modern European,8
Ireland,Fish and Chips,1
Indonesia,Western,41
Indonesia,Desserts,10
Indonesia,North Indian,1
Indonesia,Cafe,28
Indonesia,Satay,1
Indonesia,Indian,1
Indonesia,Grill,3
Indonesia,Korean,2
Indonesia,Mexican,2
Indonesia,Seafood,4
Indonesia,Bakso,1
Indonesia,American,5
Indonesia,Continental,1
Indonesia,Finger Food,2
Indonesia,Sushi,3
Indonesia,German,1
Indonesia,Chinese,2
Indonesia,French,3
Indonesia,Ramen,1
Indonesia,Spanish,2
Indonesia,Burger,2
Indonesia,Thai,1
Indonesia,Belanda,1
Indonesia,Healthy Food,1
Indonesia,Indonesian,21
Indonesia,European,5
Indonesia,Peranakan,1
Indonesia,Japanese,6
Indonesia,Bakery,6
Indonesia,Beverages,2
Indonesia,Italian,11
Indonesia,Deli,1
Indonesia,Sunda,4
Indonesia,Coffee and Tea,14
Indonesia,Bakmi,2
Indonesia,Ice Cream,2
Indonesia,Vietnamese,2
Indonesia,Asian,22
Indonesia,Fast Food,1
Indonesia,Balinese,6
UAE,Steak,4
UAE,African,2
UAE,Coffee and Tea,1
UAE,Turkish,7
UAE,Irish,1
UAE,Mughlai,15
UAE,Desserts,15
UAE,North Indian,46
UAE,Mandi,4
UAE,Middle Eastern,41
UAE,Cafe,26
UAE,Indian,97
UAE,Korean,2
UAE,French,3
UAE,Arabian,48
UAE,Seafood,18
UAE,American,28
UAE,Continental,5
UAE,Hyderabadi,2
UAE,Emirati,3
UAE,Sushi,9
UAE,Pizza,14
UAE,European,7
UAE,South Indian,20
UAE,Mexican,13
UAE,Mediterranean,6
UAE,Finger Food,2
UAE,Street Food,2
UAE,Burger,15
UAE,Thai,8
UAE,Healthy Food,1
UAE,Indonesian,3
UAE,Malaysian,1
UAE,Chinese,33
UAE,Goan,2
UAE,Lebanese,12
UAE,Japanese,10
UAE,Bakery,13
UAE,Beverages,1
UAE,Portuguese,4
UAE,Italian,27
UAE,Kerala,6
UAE,Filipino,2
UAE,Biryani,13
UAE,Iranian,5
UAE,Juices,1
UAE,Afghani,8
UAE,Pakistani,16
UAE,International,12
UAE,Ice Cream,1
UAE,Vietnamese,1
UAE,Rajasthani,1
UAE,Asian,8
UAE,Nepalese,2
UAE,Fast Food,34
UAE,Persian,3
Italy,Desserts,14
Italy,Cafe,26
Italy,Tavola Calda,3
Italy,Cucina Campana,2
Italy,Haute Cuisine,3
Italy,Grill,4
Italy,Tapas,2
Italy,Seafood,5
Italy,Fusion,6
Italy,American,5
Italy,Continental,1
Italy,Finger Food,1
Italy,Pizza,15
Italy,Sushi,8
Italy,German,1
Italy,Greek,1
Italy,Neapolitan,3
Italy,Spanish,1
Italy,Burger,16
Italy,Lombard,2
Italy,Healthy Food,6
Italy,Chinese,1
Italy,Street Food,1
Italy,Japanese,8
Italy,Bakery,1
Italy,Tavola Fredda,7
Italy,Italian,30
Italy,Brazilian,4
Italy,Panini,3
Italy,Crepes,1
Italy,Roman,8
Italy,Mediterranean,10
Italy,Ice Cream,6
Italy,Sicilian,1
Italy,Asian,3
Italy,Modern European,1
Italy,Fish and Chips,1
United States,,2263
United States,Drinks Only,5
United States,African,16
United States,Chili,2
United States,Scandinavian,1
United States,British,49
United States,Irish,14
United States,Beverages,119
United States,New American,72
United States,Frozen Yogurt,17
United States,American,7274
United States,Eastern European,22
United States,California,130
United States,Indian,208
United States,Mexican,2293
United States,Breakfast,1838
United States,Taco,7
United States,Seafood,2581
United States,Creole,2
United States,Donuts,186
United States,Bar Food,1718
United States,Pizza,3733
United States,Greek,274
United States,Amish,14
United States,Hawaiian,26
United States,Spanish,143
United States,Burger,2792
United States,Thai,516
United States,Jamaican,8
United States,Peruvian,18
United States,Deli,71
United States,Chinese,1359
United States,Floribbean,6
United States,Japanese,770
United States,Moroccan,12
United States,Desserts,1154
United States,Portuguese,34
United States,Salad,20
United States,Fast Food,2053
United States,Juices,2
United States,Bagels,7
United States,Mediterranean,313
United States,Coffee and Tea,913
United States,Latin American,170
United States,Ramen,7
United States,New Zealand,1
United States,Fusion,20
United States,Soul Food,11
United States,Argentine,8
United States,Mongolian,3
United States,Nepalese,4
United States,Afghani,14
United States,Cuban,64
United States,BBQ,1374
United States,Steak,1811
United States,Salvadorean,3
United States,Pacific Northwest,103
United States,Turkish,25
United States,Diner,1126
United States,Puerto Rican,2
United States,Po'Boys,12
United States,Vietnamese,164
United States,Tibetan,3
United States,Teriyaki,79
United States,Cafe,296
United States,Caribbean,121
United States,Patisserie,1
United States,Korean,81
United States,Indonesian,3
United States,Tapas,198
United States,Armenian,1
United States,Burmese,2
United States,Southern,637
United States,Taiwanese,5
United States,Pan Asian,3
United States,Colombian,2
United States,Sushi,818
United States,German,114
United States,Southwestern,176
United States,French,279
United States,Russian,1
United States,New Mexican,52
United States,Healthy Food,144
United States,South American,4
United States,Asian,602
United States,Fondue,3
United States,Malaysian,2
United States,European,181
United States,Sandwich,2716
United States,Belgian,11
United States,Dim Sum,21
United States,Pub Food,28
United States,Lebanese,8
United States,Bakery,79
United States,Vegetarian,578
United States,Cambodian,1
United States,Italian,2205
United States,Brazilian,56
United States,Filipino,11
United States,Polish,1
United States,Crepes,14
United States,Tea,86
United States,Persian,7
United States,Pakistani,15
United States,International,278
United States,Ice Cream,303
United States,Home-made,1
United States,Cajun,245
United States,Middle Eastern,114
United States,Ethiopian,5
United States,Australian,1
United States,Fish and Chips,16
United States,Bubble Tea,5
United States,Tex-Mex,290
South Africa,Steak,31
South Africa,Drinks Only,10
South Africa,African,19
South Africa,Frozen Yogurt,2
South Africa,British,1
South Africa,Desserts,17
South Africa,Cafe,82
South Africa,Healthy Food,6
South Africa,Indian,6
South Africa,Patisserie,3
South Africa,Grill,55
South Africa,Mexican,7
South Africa,Tapas,5
South Africa,Arabian,1
South Africa,Ice Cream,4
South Africa,Seafood,66
South Africa,South African,13
South Africa,American,12
South Africa,Continental,21
South Africa,Finger Food,9
South Africa,Pizza,61
South Africa,German,1
South Africa,Chinese,6
South Africa,Greek,6
South Africa,French,9
South Africa,Mediterranean,16
South Africa,Spanish,2
South Africa,Burger,43
South Africa,Thai,2
South Africa,Caribbean,2
South Africa,European,11
South Africa,Contemporary,36
South Africa,Japanese,8
South Africa,Bakery,11
South Africa,Vegetarian,1
South Africa,Beverages,10
South Africa,Portuguese,12
South Africa,Italian,36
South Africa,Brazilian,1
South Africa,Deli,6
South Africa,Tea,1
South Africa,Juices,1
South Africa,International,5
South Africa,Latin American,1
South Africa,Sushi,26
South Africa,Vietnamese,1
South Africa,Asian,13
South Africa,Fast Food,38
South Africa,Cuban,1
South Africa,Fish and Chips,3
Lebanon,Burger,5
Lebanon,Thai,1
Lebanon,Healthy Food,2
Lebanon,Peruvian,1
Lebanon,Chinese,2
Lebanon,Pub Food,1
Lebanon,Desserts,2
Lebanon,Lebanese,14
Lebanon,Japanese,4
Lebanon,Cafe,3
Lebanon,Indian,1
Lebanon,Italian,9
Lebanon,Fast Food,7
Lebanon,French,4
Lebanon,Armenian,1
Lebanon,Shawarma,2
Lebanon,Seafood,4
Lebanon,Falafel,2
Lebanon,Bakery,1
Lebanon,American,14
Lebanon,Steak,1
Lebanon,Sushi,5
Lebanon,Pizza,1
Lebanon,Asian,2
Lebanon,Greek,1
Lebanon,Mexican,1
Lebanon,Mediterranean,2
Canada,,9
Canada,African,2
Canada,British,6
Canada,Irish,4
Canada,Cambodian,1
Canada,American,391
Canada,Eastern European,1
Canada,Indian,100
Canada,Asian Fusion,4
Canada,French,119
Canada,Breakfast,364
Canada,Diner,224
Canada,Seafood,384
Canada,Continental,2
Canada,Sushi,216
Canada,Bar Food,443
Canada,Greek,87
Canada,Spanish,6
Canada,Burger,553
Canada,Thai,159
Canada,Peruvian,1
Canada,Chinese,268
Canada,Home-made,1
Canada,Japanese,257
Canada,Crepes,1
Canada,Portuguese,3
Canada,Salad,3
Canada,Coffee and Tea,302
Canada,Latin American,5
Canada,Southern,12
Canada,Soul Food,3
Canada,Asian,162
Canada,Sandwich,404
Canada,Cantonese,1
Canada,Teriyaki,1
Canada,Modern European,1
Canada,Afghani,1
Canada,Cuban,1
Canada,Fish and Chips,111
Canada,Steak,245
Canada,Pacific Northwest,50
Canada,Sri Lankan,1
Canada,Shanghai,1
Canada,Desserts,260
Canada,Cafe,57
Canada,Caribbean,10
Canada,Swiss,1
Canada,Patisserie,1
Canada,Korean,54
Canada,Kebab,38
Canada,Tapas,33
Canada,Others,155
Canada,Fusion,42
Canada,Taiwanese,1
Canada,Grill,28
Canada,Pizza,540
Canada,German,26
Canada,Southwestern,4
Canada,Mexican,107
Canada,Mediterranean,73
Canada,Ramen,10
Canada,Healthy Food,44
Canada,Dim Sum,11
Canada,Malaysian,4
Canada,Canadian,600
Canada,European,77
Canada,Pub Food,6
Canada,Lebanese,3
Canada,Bakery,21
Canada,Vegetarian,190
Canada,Beverages,22
Canada,Italian,345
Canada,Brazilian,3
Canada,Filipino,2
Canada,Deli,6
Canada,Moroccan,1
Canada,Tea,18
Canada,Pakistani,2
Canada,Ukrainian,1
Canada,International,297
Canada,Ice Cream,37
Canada,Vietnamese,93
Canada,Cajun,8
Canada,Middle Eastern,28
Canada,Ethiopian,2
Canada,Fast Food,258
Canada,BBQ,84
Canada,Bubble Tea,2
Canada,Tex-Mex,2
Chile,Steak,2
Chile,Burger,4
Chile,Healthy Food,4
Chile,Peruvian,6
Chile,Cafe,1
Chile,Thai,1
Chile,Contemporary,2
Chile,Desserts,2
Chile,Japanese,2
Chile,Bakery,1
Chile,Pastry,1
Chile,Indian,1
Chile,Nikkei,1
Chile,Italian,9
Chile,French,2
Chile,Chilean,3
Chile,Tea,1
Chile,Seafood,1
Chile,Pizza,7
Chile,International,1
Chile,American,3
Chile,Grill,1
Chile,Sushi,2
Chile,Vietnamese,1
Chile,Asian,1
Chile,Sandwich,11
Chile,Bar Food,7
Chile,Home-made,1
Chile,Fast Food,1
Chile,Spanish,3
Australia,,17
Australia,Drinks Only,1
Australia,African,6
Australia,Frozen Yogurt,2
Australia,Yum Cha,10
Australia,British,19
Australia,Irish,1
Australia,Beverages,10
Australia,Cafe,447
Australia,American,45
Australia,Eastern European,2
Australia,Teppanyaki,1
Australia,French,49
Australia,Breakfast,302
Australia,Seafood,222
Australia,Continental,1
Australia,Sushi,33
Australia,Bar Food,270
Australia,Greek,23
Australia,Spanish,25
Australia,Burger,152
Australia,Thai,140
Australia,Chinese,119
Australia,Modern Australian,694
Australia,Japanese,95
Australia,Crepes,1
Australia,Desserts,157
Australia,Portuguese,2
Australia,Fast Food,47
Australia,Juices,1
Australia,Coffee and Tea,592
Australia,Latin American,6
Australia,Southern,2
Australia,Asian,152
Australia,Argentine,1
Australia,Cantonese,1
Australia,Modern European,3
Australia,Afghani,1
Australia,Fish and Chips,52
Australia,Steak,107
Australia,Turkish,9
Australia,Diner,22
Australia,Native Australian,8
Australia,Tibetan,1
Australia,Ethiopian,2
Australia,Caribbean,1
Australia,Indian,100
Australia,Patisserie,2
Australia,Charcoal Chicken,1
Australia,Korean,9
Australia,Kebab,1
Australia,Tapas,105
Australia,Korean BBQ,1
Australia,Others,163
Australia,Fusion,15
Australia,Taiwanese,1
Australia,Grill,5
Australia,Pan Asian,1
Australia,Pizza,264
Australia,German,8
Australia,Mexican,47
Australia,Mediterranean,63
Australia,Ramen,2
Australia,Healthy Food,23
Australia,South American,2
Australia,Indonesian,7
Australia,Dumplings,1
Australia,Malaysian,31
Australia,Canadian,3
Australia,European,58
Australia,Sandwich,105
Australia,Contemporary,4
Australia,Pub Food,19
Australia,Fish & Chips,1
Australia,Lebanese,2
Australia,Bakery,37
