,COUNTRY,CUISINES,RESTAURANT COUNTS
0,Australia,Modern Australian,694
1,Australia,Coffee and Tea,592
2,Australia,Cafe,447
3,Australia,Breakfast,302
4,Australia,Bar Food,270
5,Brasil,Brazilian,74
6,Brasil,Japanese,23
7,Brasil,Bar Food,23
8,Brasil,Italian,16
9,Brasil,Fast Food,14
10,Canada,Canadian,600
11,Canada,Burger,553
12,Canada,Pizza,540
13,Canada,Bar Food,443
14,Canada,Sandwich,404
15,Chile,Sandwich,11
16,Chile,Italian,9
17,Chile,Pizza,7
18,Chile,Bar Food,7
19,Chile,Peruvian,6
20,Czech Republic,Czech,481
21,Czech Republic,Italian,114
22,Czech Republic,Steak,87
23,Czech Republic,Cafe,62
24,Czech Republic,American,40
25,India,North Indian,485
26,India,Chinese,338
27,India,Continental,277
28,India,Italian,225
29,India,Cafe,201
30,Indonesia,Western,41
31,Indonesia,Cafe,28
32,Indonesia,Asian,22
33,Indonesia,Indonesian,21
34,Indonesia,Coffee and Tea,14
35,Ireland,Cafe,12
36,Ireland,Modern European,8
37,Ireland,Pub Food,5
38,Ireland,Pizza,4
39,Ireland,Irish,4
40,Italy,Italian,30
41,Italy,Cafe,26
42,Italy,Burger,16
43,Italy,Pizza,15
44,Italy,Desserts,14
45,Lebanon,American,14
46,Lebanon,Lebanese,14
47,Lebanon,Italian,9
48,Lebanon,Fast Food,7
49,Lebanon,Burger,5
50,Malaysia,Cafe,24
51,Malaysia,Western,13
52,Malaysia,Malaysian,10
53,Malaysia,Japanese,6
54,Malaysia,Korean,5
55,New Zealand,Cafe,135
56,New Zealand,European,85
57,New Zealand,Italian,43
58,New Zealand,Kiwi,42
59,New Zealand,Asian,40
60,Philippines,Filipino,47
61,Philippines,American,43
62,Philippines,Cafe,31
63,Philippines,Japanese,22
64,Philippines,Asian,21
65,Poland,Polish,214
66,Poland,Italian,145
67,Poland,Pizza,124
68,Poland,Desserts,110
69,Poland,Cafe,72
70,Portugal,Burger,18
71,Portugal,Portuguese,15
72,Portugal,Finger Food,15
73,Portugal,Italian,13
74,Portugal,Pizza,12
75,Qatar,Indian,9
76,Qatar,American,5
77,Qatar,Chinese,5
78,Qatar,Desserts,4
79,Qatar,Bakery,3
80,Singapore,American,8
81,Singapore,Cafe,7
82,Singapore,French,5
83,Singapore,Bakery,4
84,Singapore,Continental,4
85,Slovakia,Slovak,187
86,Slovakia,Pizza,86
87,Slovakia,Italian,66
88,Slovakia,Others,45
89,Slovakia,Grill,38
90,South Africa,Cafe,82
91,South Africa,Seafood,66
92,South Africa,Pizza,61
93,South Africa,Grill,55
94,South Africa,Burger,43
95,Sri Lanka,American,10
96,Sri Lanka,Cafe,8
97,Sri Lanka,Italian,8
98,Sri Lanka,Seafood,7
99,Sri Lanka,Fast Food,7
100,Turkey,Cafe,123
101,Turkey,Kebab,66
102,Turkey,Fresh Fish,54
103,Turkey,Seafood,49
104,Turkey,Izgara,47
105,UAE,Indian,97
106,UAE,Arabian,48
107,UAE,North Indian,46
108,UAE,Middle Eastern,41
109,UAE,Fast Food,34
110,United Kingdom,British,162
111,United Kingdom,Indian,108
112,United Kingdom,Italian,100
113,United Kingdom,Seafood,46
114,United Kingdom,Scottish,44
115,United States,American,7274
116,United States,Pizza,3733
117,United States,Burger,2792
118,United States,Sandwich,2716
119,United States,Seafood,2581
