,RES_ID,Name,CUISINES,USER RATING,VOTES,RATING TEXT,LATITUDE,LONGITUDE,AVG COST for TWO,CURRENCY
0,18408295,Stacks And Racks,American,4.6,413,Excellent,19.1812996465,72.8361914909,500,Rs.
1,44568,Global Fusion,Asian,4.3,4308,Very Good,19.10762,72.883204,3500,Rs.
2,37237,Candies,Bakery,4.2,8917,Very Good,19.060795,72.826527,700,Rs.
3,18233317,145 Kala Ghoda,Beverages,4.2,1606,Very Good,18.927583991,72.83258456739999,1500,Rs.
4,18408295,Stacks And Racks,Burger,4.6,413,Excellent,19.1812996465,72.8361914909,500,Rs.
5,36403,Prithvi Cafe,Cafe,4.5,3962,Excellent,19.105844376700002,72.8258394822,800,Rs.
6,36833,Chili's,Chili,4.2,3105,Very Good,19.1161992263,72.9095099866,1800,Rs.
7,18075122,The Fusion Kitchen,Chinese,4.7,2083,Excellent,19.254567,72.848923,1000,Rs.
8,18245975,Glocal Junction,Continental,4.0,1424,Very Good,19.139074,72.832157,1500,Rs.
9,37237,Candies,Desserts,4.2,8917,Very Good,19.060795,72.826527,700,Rs.
10,18318116,R' ADDA,European,4.1,546,Very Good,19.1093,72.825451,1200,Rs.
11,18233317,145 Kala Ghoda,Fast Food,4.2,1606,Very Good,18.927583991,72.83258456739999,1500,Rs.
12,18458563,The American Joint,Healthy Food,3.4,170,Average,19.2238399,72.8413473,850,Rs.
13,18075122,The Fusion Kitchen,Italian,4.7,2083,Excellent,19.254567,72.848923,1000,Rs.
14,44568,Global Fusion,Japanese,4.3,4308,Very Good,19.10762,72.883204,3500,Rs.
15,18415164,Summer House Cafe,Lebanese,4.4,335,Very Good,19.0002603,72.8302433,2000,Rs.
16,49261,Colaba Social,Mediterranean,4.0,4836,Very Good,18.920925980699998,72.8328195959,1200,Rs.
17,36833,Chili's,Mexican,4.2,3105,Very Good,19.1161992263,72.9095099866,1800,Rs.
18,18397685,A Bar Called Life,Modern Indian,4.0,106,Very Good,19.115730696500002,72.82789003100001,1500,Rs.
19,17806994,Mirchi And Mime,North Indian,4.9,3244,Excellent,19.1200826821,72.90738534180001,1500,Rs.
20,18318116,R' ADDA,Pizza,4.1,546,Very Good,19.1093,72.825451,1200,Rs.
21,36833,Chili's,Salad,4.2,3105,Very Good,19.1161992263,72.9095099866,1800,Rs.
22,17806994,Mirchi And Mime,South Indian,4.9,3244,Excellent,19.1200826821,72.90738534180001,1500,Rs.
23,40714,The Little Door,Spanish,4.1,3361,Very Good,19.139268636300002,72.8330331668,1400,Rs.
24,36833,Chili's,Steak,4.2,3105,Very Good,19.1161992263,72.9095099866,1800,Rs.
25,18318116,R' ADDA,Street Food,4.1,546,Very Good,19.1093,72.825451,1200,Rs.
26,36833,Chili's,Tex-Mex,4.2,3105,Very Good,19.1161992263,72.9095099866,1800,Rs.
