ID,CITY,COUNTRY ID,COUNTRY
257,Rome,99,Italy
4677,"Rome, GA",216,United States
258,Milan,99,Italy
7508,"Milan, NH",216,United States
7610,"Milan, NM",216,United States
6723,"Milan, MO",216,United States
5394,"Milan, IN",216,United States
5055,"Milan, IL",216,United States
9380,"Milano, TX",216,United States
84,Prague,54,Czech Republic
8294,"Prague, OK",216,United States
7409,"Prague, NE",216,United States
93,Brno,54,Czech Republic
174,Beroun,54,Czech Republic
179,České Budějovice,54,Czech Republic
185,Frýdek-Místek,54,Czech Republic
186,Havířov,54,Czech Republic
188,Hradec Králové,54,Czech Republic
191,Karlovy Vary,54,Czech Republic
192,Kladno,54,Czech Republic
193,Kolín,54,Czech Republic
197,Liberec,54,Czech Republic
198,Litoměřice,54,Czech Republic
199,Mělník,54,Czech Republic
200,Mladá Boleslav,54,Czech Republic
204,Nový Jičín,54,Czech Republic
205,Olomouc,54,Czech Republic
206,Ostrava,54,Czech Republic
207,Pardubice,54,Czech Republic
208,Plzeň,54,Czech Republic
209,Poděbrady,54,Czech Republic
212,Teplice,54,Czech Republic
213,Třinec,54,Czech Republic
215,Ústí nad Labem,54,Czech Republic
66,Brasília,30,Brasil
73,Rio de Janeiro,30,Brasil
8011,"Rio Dell, CA",216,United States
9202,"Rio Grande City, TX",216,United States
10808,"Rio Vista, CA",216,United States
9517,"Rio Vista, TX",216,United States
8906,"Rio Grande, NJ",216,United States
10875,"Rio Nido, CA",216,United States
8071,"Rio Grande, OH",216,United States
10871,"Monte Rio, CA",216,United States
9431,"Del Rio, TX",216,United States
80,Salvador,30,Brasil
81,Porto Alegre,30,Brasil
311,Porto,164,Portugal
67,São Paulo,30,Brasil
83,Santiago,42,Chile
74,Jakarta,94,Indonesia
170,Bali,94,Indonesia
1924,"Balingup, WA",14,Australia
11052,Bandung,94,Indonesia
3250,"Violet Hill, ON",37,Canada
1505,"Swan Hill, VIC",14,Australia
2478,"Soldiers Hill, QLD",14,Australia
1837,"Stove Hill, WA",14,Australia
2310,"South Hill, NSW",14,Australia
1506,"Pyramid Hill, VIC",14,Australia
1620,"Quarry Hill, VIC",14,Australia
1966,"Bakers Hill, WA",14,Australia
1629,"Black Hill, VIC",14,Australia
1597,"Bakery Hill, VIC",14,Australia
6718,"Braymer, MO",216,United States
11083,Wicklow,97,Ireland
64,Cape Town,189,South Africa
2479,"Town View, QLD",14,Australia
1439,"Violet Town, VIC",14,Australia
4573,"Old Town, FL",216,United States
7344,"New Town, ND",216,United States
10423,"Charles Town, WV",216,United States
11083,Wicklow,97,Ireland
484,"Orange County, CA",216,United States
553,"Fairfield County, CT",216,United States
994,"Westchester County, NY",216,United States
11180,"Montgomery County, MD",216,United States
11055,"Montgomery County, PA",216,United States
11181,"Prince George's County, MD",216,United States
11176,"Fairfax County, VA",216,United States
472,"Ventura County, CA",216,United States
11056,"Bucks County, PA",216,United States
86,Beirut,112,Lebanon
88,Kuala Lumpur,123,Malaysia
11080,Selangor,123,Malaysia
