Country,City,,,,,,
 Australia,Toowoomba,,,,,,
 Australia,Canberra ACT,,,,,,
 Australia,Tasmania,,,,,,
 Australia,Darwin,,,,,,
 Australia,Melbourne,,,,,,
 Australia,Mornington Peninsula,,,,,,
 Australia,Bendigo,,,,,,
 Australia,Ballarat,,,,,,
 Australia,Gelling,,,,,,
 Australia,Sydney,,,,,,
 Australia,Wollongong,,,,,,
 Australia,Perth,,,,,,
 Australia,City of Mandurah,,,,,,
 Australia,City of Rockingham,,,,,,
 Australia,Adelaide,,,,,,
 Australia,Brisbane,,,,,,
 Australia,Townsville,,,,,,
 Australia,Cairns,,,,,,
Brasil,Brasilia,,,,,,
Brasil,Rio de Janeiro,,,,,,
Brasil,Salvador,,,,,,
Brasil,Porto Alegre,,,,,,
Brasil,Sāo Paulo,,,,,,
Canada,Toronto,,,,,,
Canada,Ottawa,,,,,,
Canada,Windsor,,,,,,
Canada,Barrie,,,,,,
Canada,Kinston,,,,,,
Canada,Peterborough,,,,,,
Canada,Greater Sudbury,,,,,,
Canada,Thunder Bay,,,,,,
Canada,"Cambridge,Ontario",,,,,,
Canada,Niagara Falls,,,,,,
Canada,"Stratford,Ontario",,,,,,
Canada,Kitchener,,,,,,
Canada,"London,Ontario",,,,,,
Canada,"Waterloo,Ontario",,,,,,
Canada,Guelph,,,,,,
Canada,"Hamilton,Ontario",,,,,,
Canada,St Catharines,,,,,,
Canada,Brantford,,,,,,
Canada,Metro Vancouver,,,,,,
Canada,Whistler,,,,,,
Canada,Chilliwack,,,,,,
Canada,"Abbotsford,British Columbia",,,,,,
Canada,Vernon,,,,,,
Canada,Penticton,,,,,,
Canada,Prince  George,,,,,,
Canada,Victoria,,,,,,
Canada,Westshore,,,,,,
Canada,Saanich,,,,,,
Canada,Montreal,,,,,,
Canada,Ste-Foy,,,,,,
Canada,Quebec City,,,,,,
Canada,Gatineau,,,,,,
Canada,Calgary,,,,,,
Canada,Edmonton,,,,,,
Canada,Grande Prairie,,,,,,
Canada,Red Deer,,,,,,
Canada,Banff,,,,,,
Canada,Meducine Hat,,,,,,
Canada,Lethbridge,,,,,,
Canada,Airdrie,,,,,,
Canada,Winnipeg,,,,,,
Canada,Brandon,,,,,,
Canada,Saskatoon,,,,,,
Canada,Regina,,,,,,
Canada,Darthmouth,,,,,,
Canada,Halifax,,,,,,
Canada,Fredericton,,,,,,
Canada,Moncton,,,,,,
Canada,St John's,,,,,,
Chile,Santiago ,,,,,,
Czech Republic,Prague,,,,,,
Czech Republic,Brno,,,,,,
Czech Republic,Beroun,,,,,,
Czech Republic,České Budějovice,,,,,,
Czech Republic,Staré Město,,,,,,
Czech Republic,Frýdek-Místek,,,,,,
Czech Republic,Havířov,,,,,,
Czech Republic,Hradec Králové,,,,,,
Czech Republic,Karlovy Vary,,,,,,
Czech Republic,Kladno,,,,,,
Czech Republic,Kolín,,,,,,
Czech Republic,Liberec,,,,,,
Czech Republic,Litoměřice,,,,,,
Czech Republic,Mělník,,,,,,
Czech Republic,Mladá Boleslav,,,,,,
Czech Republic,Nový Jičín,,,,,,
Czech Republic,Olomouc,,,,,,
Czech Republic,Ostrava,,,,,,
Czech Republic,Pardubice,,,,,,
Czech Republic,Plzeň,,,,,,
Czech Republic,Poděbrady,,,,,,
Czech Republic,KolíTeplice,,,,,,
Czech Republic,Třinec,,,,,,
Czech Republic,Ústí nad Labemn,,,,,,
India,Delhi NCR ,,,,TEXAS,,
India,Mumbai ,,,,WASHINGTON STATE,,
India,Bangalore ,,,Canada,NEW YORK STATE,,
India,Hyderabad ,,,Chile,CALIFORNIA,,
India,Chennai ,,,Czech Republic,NEVADA,,
India,Pune ,,,Indonesia,DC,,
India,Kolkata ,,,Ireland,MICHIGAN,,
India,Lucknow ,,,Italy,OREGON,,
India,Ahmedabad ,,,Lebanon,PENNSYLVANIA,,
India,Indore ,,,New Zealand,GEORGIA,,
India,Chandigarh ,,,Philippines,MASSACHUSETTS,,
India,Kochi ,,,Poland,LOUISIANA,,
India,Jaipur,,,Portugal,FLORIDA,,
India,Coimbatore,,,Qatar,ILLINOIS,,
India,Indore,,,Slovakia,ARIZONA,,
India,Nasik,,,South Africa,NORTH CAROLINA,,
India,Bhopal,,,Sri Lanka,COLORADO,,
India,Dehradun,,,Brazil,ALASKA,,
India,Varanasi,,,Turkey,ALABAMA,,
India,Vadodara,,,United Arab,ARKANSAS,,
India,Ranchi,,,Emirates,CONNECTICUT,,
India,Goa,,,United Kingdom,DELAWARE,,
India,Nagpur,,,Malaysia,IOWA,,
India,Surat,,,,IDAHO,,
India,Mysore,,,,KANSAS,,
India,Patna,,,,INDIANA,,
India,Shimla,,,,KENTUCKY,,
India,Guwahati,,,,MARYLAND,,
India,Agra,,,,MAINE,,
India,Puducherry,,,,MINNESOTA,,
Indonesia,Jakarta,,,,,,
Indonesia,Bali,,,,,,
Indonesia,Bandung,,,,,,
Ireland,Arbour Hill,,,,,,
Ireland,Artane,,,,,,
Ireland,Bray,,,,,,
Ireland,Greystones,,,,,,
Ireland,Wicklow Town,,,,,,
Ireland,Arklow,,,,,,
Ireland,Wicklow County,,,,,,
Italy,Rome,,,,,,
Italy,Milan,,,,,,
Lebanon,Beirut,,,,,,
Malaysia,Kuala Lumpur,,,,,,
Malaysia,Selangor,,,,,,
New Zealand,Auckland,,,,,,
New Zealand,Wellington,,,,,,
New Zealand,Hamilton,,,,,,
New Zealand,Christchurch,,,,,,
New Zealand,Nelson,,,,,,
New Zealand,Rotorua,,,,,,
New Zealand,Tauranga,,,,,,
New Zealand,Napier Hastings,,,,,,
New Zealand,Dunedin,,,,,,
New Zealand,Queenstown,,,,,,
New Zealand,New Plymouth,,,,,,
New Zealand,Palmerston North,,,,,,
Phillippines,Metro Manila,,,,,,
Phillippines,Cebu,,,,,,
Phillippines,Laguna,,,,,,
Phillippines,Rizal,,,,,,
Poland,Warsaw,,,,,,
Poland,Kraków,,,,,,
Poland,Lódz,,,,,,
Poland,Poznan,,,,,,
Poland,Lublin ,,,,,,
Poland,Katowice,,,,,,
Poland,Wroclaw,,,,,,
Poland,Gdansk,,,,,,
Poland,Rzeszów,,,,,,
Poland,Szczecin,,,,,,
Poland,Bydgoszcz,,,,,,
Poland,Torun,,,,,,
Poland,Gdynia,,,,,,
Poland,Sopot,,,,,,
Poland,Bialystok,,,,,,
Poland,Czesteochowa,,,,,,
Poland,Zakopane,,,,,,
Portugal,Greater Lisbon,,,,,,
Portugal,Porto,,,,,,
Qatar,Doha,,,,,,
Slovakia,Bratislava,,,,,,
Slovakia,Kosice,,,,,,
Slovakia,Nitra,,,,,,
Slovakia,Zilina,,,,,,
Slovakia,Banska Bystrica,,,,,,
Slovakia,Trencín,,,,,,
Slovakia,Presov,,,,,,
Slovakia,Trnava,,,,,,
Slovakia,Prievidza,,,,,,
Singapore,Singapore,,,,,,
South Aftrica,Cape Town,,,,,,
South Aftrica,Johannesburg,,,,,,
South Aftrica,Pretorua,,,,,,
South Aftrica,Duban,,,,,,
South Aftrica,Garden Route,,,,,,
South Aftrica,Hartbeespoort,,,,,,
South Aftrica,Nelspruit,,,,,,
South Aftrica,Dullstroom,,,,,,
South Aftrica,Grahamstown,,,,,,
South Aftrica,Sun City,,,,,,
South Aftrica,Bloemfontein,,,,,,
Sri lanka ,Colombo,,,,,,
Turkey,Istanbul,,,,,,
Turkey,Ankara,,,,,,
Turkey,Izmir,,,,,,
Turkey,Çesme,,,,,,
Turkey,Bursa,,,,,,
Turkey,Adana,,,,,,
Turkey,Antalya,,,,,,
Turkey,Izmit,,,,,,
Turkey,Konya,,,,,,
Turkey,Gaziantep,,,,,,
Turkey,Bodrum,,,,,,
Turkey,Eskisehir,,,,,,
Turkey,Bozcaada,,,,,,
UAE,Dubai,,,,,,
