ID,CITY,COUNTRY ID,COUNTRY
2764,"Toowoomba, QLD",14,Australia
2758,"East Toowoomba, QLD",14,Australia
2739,"South Toowoomba, QLD",14,Australia
313,Canberra ACT,14,Australia
314,TAS,14,Australia
1304,"Darwin International Airport, NT",14,Australia
1323,"Darwin, NT",14,Australia
1297,"The Gardens, Darwin, NT",14,Australia
259,"Melbourne, VIC",14,Australia
577,"Melbourne, FL",216,United States
4208,"Melbourne, AR",216,United States
1543,"Mornington Peninsula, VIC",14,Australia
9495,"Bolivar Peninsula, TX",216,United States
3499,"Northern Bruce Peninsula, ON",37,Canada
1580,"Bendigo, VIC",14,Australia
1622,"Ballarat North, VIC",14,Australia
1602,"Ballarat East, VIC",14,Australia
1631,"Ballarat, VIC",14,Australia
260,"Sydney, NSW",14,Australia
3171,"Sydney, Atlantic Provinces, NS",37,Canada
3169,"North Sydney, NS",37,Canada
2171,"Wollongong, NSW",14,Australia
2208,"North Wollongong, NSW",14,Australia
296,"Perth, WA",14,Australia
3730,"Perth, Scotland",215,United Kingdom
3513,"Perth East, ON",37,Canada
3325,"Perth, ON",37,Canada
3800,"Perth Amboy, NJ",216,United States
3158,"Perth-Andover, NB",37,Canada
3470,"North Perth, ON",37,Canada
3505,"West Perth, ON",37,Canada
11205,"City of Mandurah, WA",14,Australia
280,"New York City, NY",216,United States
63,Metro Manila,162,Philippines
1213,"Salt Lake City, UT",216,United States
1051,OK City,216,United States
856,"Kansas City, MO",216,United States
11171,"KS City, KS",216,United States
3603,"Victoria, BC",37,Canada
652,Cedar Rapids/IA City,216,United States
562,"Panama City, FL",216,United States
11206,"City of Rockingham, WA",14,Australia
7175,"Rockingham, NC",216,United States
280,"New York City, NY",216,United States
63,Metro Manila,162,Philippines
1213,"Salt Lake City, UT",216,United States
1051,OK City,216,United States
856,"Kansas City, MO",216,United States
11171,"KS City, KS",216,United States
3603,"Victoria, BC",37,Canada
652,Cedar Rapids/IA City,216,United States
297,"Adelaide, SA",14,Australia
1311,"Adelaide River, NT",14,Australia
298,"Brisbane, QLD",14,Australia
2447,"Townsville, QLD",14,Australia
2463,"Cairns North, QLD",14,Australia
2435,"Cairns City, QLD",14,Australia
2451,"Cairns, QLD",14,Australia
66,Brasília,30,Brasil
73,Rio de Janeiro,30,Brasil
9517,"Rio Vista, TX",216,United States
8011,"Rio Dell, CA",216,United States
9202,"Rio Grande City, TX",216,United States
8906,"Rio Grande, NJ",216,United States
8071,"Rio Grande, OH",216,United States
10808,"Rio Vista, CA",216,United States
10875,"Rio Nido, CA",216,United States
9431,"Del Rio, TX",216,United States
10871,"Monte Rio, CA",216,United States
80,Salvador,30,Brasil
81,Porto Alegre,30,Brasil
311,Porto,164,Portugal
67,São Paulo,30,Brasil
89,"Toronto, ON",37,Canada
2262,"Toronto, NSW",14,Australia
8058,"Toronto, OH",216,United States
5658,"Toronto, KS",216,United States
295,"Ottawa, ON",37,Canada
6297,"Ottawa Lake, MI",216,United States
5131,"Ottawa, IL",216,United States
5603,"Ottawa, KS",216,United States
358,"Windsor, ON",37,Canada
3116,"Windsor, Atlantic Provinces, NS",37,Canada
5227,"Windsor, IL",216,United States
10882,"Windsor, CA",216,United States
7168,"Windsor, NC",216,United States
6159,"Windsor, ME",216,United States
9825,"Windsor, VT",216,United States
3933,"East Windsor, NJ",216,United States
10973,"View Park - Windsor Hills, CA",216,United States
3230,"Barrie, ON",37,Canada
2975,"Barriere, BC",37,Canada
4180,"Kinston, AL",216,United States
3280,"Peterborough, ON",37,Canada
1792,"Peterborough, SA",14,Australia
1680,"Peterborough, VIC",14,Australia
3344,"Greater Sudbury, ON",37,Canada
3339,"Sudbury, ON",37,Canada
82,Greater Lisbon,164,Portugal
3316,"Greater Napanee, ON",37,Canada
3353,"Thunder Bay, ON",37,Canada
604,"Tampa Bay, FL",216,United States
487,"Monterey Bay, CA",216,United States
1273,"Green Bay, WI",216,United States
433,"Mobile Bay, AL",216,United States
2545,"Runaway Bay, QLD",14,Australia
7758,"Alexandria Bay, NY",216,United States
9888,"Clallam Bay, WA",216,United States
10856,"Bodega Bay, CA",216,United States
9165,"Bay City, TX",216,United States
3389,"Cambridge, ON",37,Canada
89,"Toronto, ON",37,Canada
295,"Ottawa, ON",37,Canada
3454,"London, ON",37,Canada
3477,"Hamilton, ON",37,Canada
3398,"Mono, ON",37,Canada
3531,"Middlesex Centre, ON",37,Canada
3232,"Midland, ON",37,Canada
3528,"Mildmay, ON",37,Canada
3247,"Minden Hills, ON",37,Canada
3401,"Niagara Falls, ON",37,Canada
10193,"Niagara, WI",216,United States
9805,"Bellows Falls, VT",216,United States
10335,"Black River Falls, WI",216,United States
3212,"Burk's Falls, ON",37,Canada
1415,"Falls Creek, VIC",14,Australia
3281,"Smiths Falls, ON",37,Canada
2984,"Okanagan Falls, BC",37,Canada
3371,"Kakabeka Falls, ON",37,Canada
3276,"Fenelon Falls, ON",37,Canada
3403,"Stratford, ON",37,Canada
89,"Toronto, ON",37,Canada
2438,"Stratford, QLD",14,Australia
1337,"Stratford, VIC",14,Australia
10330,"Stratford, WI",216,United States
9556,"Stratford, TX",216,United States
8275,"Stratford, OK",216,United States
295,"Ottawa, ON",37,Canada
3454,"London, ON",37,Canada
3477,"Hamilton, ON",37,Canada
3428,"Kitchener, ON",37,Canada
3454,"London, ON",37,Canada
89,"Toronto, ON",37,Canada
295,"Ottawa, ON",37,Canada
3477,"Hamilton, ON",37,Canada
3398,"Mono, ON",37,Canada
3531,"Middlesex Centre, ON",37,Canada
3232,"Midland, ON",37,Canada
3528,"Mildmay, ON",37,Canada
3247,"Minden Hills, ON",37,Canada
3364,"Mindemoya, ON",37,Canada
3459,"Waterloo, ON",37,Canada
89,"Toronto, ON",37,Canada
295,"Ottawa, ON",37,Canada
3454,"London, ON",37,Canada
3477,"Hamilton, ON",37,Canada
3398,"Mono, ON",37,Canada
3531,"Middlesex Centre, ON",37,Canada
3232,"Midland, ON",37,Canada
3528,"Mildmay, ON",37,Canada
3247,"Minden Hills, ON",37,Canada
3432,"Guelph & Eramosa, ON",37,Canada
3467,"Guelph, ON",37,Canada
3477,"Hamilton, ON",37,Canada
89,"Toronto, ON",37,Canada
295,"Ottawa, ON",37,Canada
3454,"London, ON",37,Canada
3398,"Mono, ON",37,Canada
3531,"Middlesex Centre, ON",37,Canada
3232,"Midland, ON",37,Canada
3528,"Mildmay, ON",37,Canada
3247,"Minden Hills, ON",37,Canada
3364,"Mindemoya, ON",37,Canada
3481,"St Catharines, ON",37,Canada
844,"St. Louis, MO",216,United States
583,"St Augustine, FL",216,United States
